years_exp_band,skills_coverage_band,referral_flag,english_level,priority,location_match_relocate,location_match_remoteok
1.0,1.0,1.0,1.0,1.0,0.0,1.0
2.0,0.0,0.0,2.0,1.0,0.0,0.0
2.0,2.0,0.0,1.0,2.0,0.0,1.0
1.0,1.0,0.0,3.0,1.0,0.0,0.0
2.0,1.0,0.0,2.0,2.0,0.0,0.0
2.0,1.0,0.0,1.0,2.0,1.0,0.0
2.0,2.0,0.0,3.0,2.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0
2.0,1.0,0.0,1.0,1.0,0.0,0.0
1.0,1.0,0.0,2.0,1.0,0.0,1.0
1.0,2.0,0.0,2.0,1.0,0.0,1.0
2.0,0.0,0.0,2.0,1.0,0.0,0.0
3.0,1.0,0.0,2.0,1.0,0.0,0.0
2.0,0.0,0.0,2.0,1.0,0.0,1.0
2.0,1.0,0.0,2.0,2.0,0.0,0.0
1.0,1.0,0.0,2.0,1.0,0.0,1.0
2.0,1.0,1.0,2.0,2.0,0.0,1.0
0.0,1.0,1.0,2.0,1.0,0.0,0.0
0.0,1.0,0.0,1.0,0.0,0.0,1.0
2.0,1.0,0.0,0.0,1.0,0.0,1.0
3.0,2.0,0.0,2.0,2.0,0.0,1.0
1.0,1.0,0.0,2.0,1.0,0.0,0.0
1.0,0.0,1.0,0.0,0.0,0.0,1.0
2.0,0.0,0.0,3.0,1.0,0.0,0.0
0.0,1.0,0.0,2.0,0.0,0.0,1.0
1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,1.0,2.0,1.0,1.0,0.0
1.0,1.0,0.0,2.0,1.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,2.0,1.0,1.0,2.0,0.0,0.0
3.0,1.0,1.0,2.0,2.0,0.0,0.0
2.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,1.0,0.0,1.0,1.0,0.0,0.0
1.0,2.0,0.0,2.0,1.0,0.0,1.0
2.0,0.0,0.0,1.0,1.0,0.0,0.0
1.0,1.0,0.0,2.0,1.0,0.0,1.0
0.0,1.0,1.0,2.0,0.0,1.0,0.0
0.0,2.0,0.0,2.0,1.0,0.0,0.0
3.0,1.0,0.0,1.0,2.0,0.0,0.0
1.0,2.0,0.0,1.0,1.0,0.0,0.0
2.0,0.0,0.0,3.0,1.0,0.0,1.0
1.0,1.0,0.0,3.0,1.0,0.0,0.0
1.0,2.0,1.0,2.0,2.0,0.0,0.0
3.0,1.0,0.0,1.0,2.0,0.0,1.0
2.0,1.0,0.0,2.0,1.0,0.0,0.0
1.0,1.0,0.0,1.0,2.0,0.0,0.0
0.0,2.0,0.0,2.0,1.0,0.0,0.0
2.0,2.0,1.0,2.0,2.0,0.0,0.0
3.0,1.0,1.0,3.0,2.0,0.0,0.0
2.0,2.0,0.0,0.0,2.0,0.0,0.0
1.0,2.0,0.0,1.0,1.0,0.0,0.0
3.0,2.0,0.0,1.0,2.0,1.0,0.0
0.0,1.0,1.0,3.0,1.0,0.0,1.0
1.0,2.0,0.0,0.0,1.0,0.0,1.0
1.0,0.0,0.0,3.0,1.0,0.0,0.0
