required_skills,candidate_skills,degree,years_experience,overlap,fit,probability,missing_skills
"ci/cd, flask, graphql, hadoop, javascript, kubernetes, linux, sql","hadoop, react, spark, tableau",1.0,4.4,1.0,0.0,0.382,"ci/cd, flask, graphql, javascript, kubernetes, linux, sql"
"docker, javascript, tableau, tensorflow, typescript","django, git, hadoop, numpy, pandas, power bi, sql, spark",1.0,3.7,0.0,0.0,0.261,"docker, javascript, tableau, tensorflow, typescript"
"etl, hadoop, kubernetes, linux, node.js, numpy","aws, azure, git, linux, node.js, power bi, pytorch, r, react",1.0,4.3,2.0,0.0,0.479,"etl, hadoop, kubernetes, numpy"
"aws, azure, docker, etl, git, graphql, numpy, typescript","flask, java, linux, power bi, pytorch, react, spark",1.0,0.6,0.0,0.0,0.168,"aws, azure, docker, etl, git, graphql, numpy, typescript"
"docker, gcp, linux, power bi, tensorflow","excel, gcp, graphql, hadoop, java, linux, pandas, rest, tableau, typescript",2.0,3.7,2.0,0.0,0.521,"docker, power bi, tensorflow"
"airflow, ci/cd, flask, linux, python, tableau, typescript","aws, django, flask, java, kubernetes, power bi, pytorch, sql",1.0,5.3,1.0,0.0,0.409,"airflow, ci/cd, linux, python, tableau, typescript"
"airflow, java, numpy, r, rest, scikit-learn, tensorflow","airflow, docker, etl, rest, react, tableau, typescript",1.0,4.8,2.0,1.0,0.494,"java, numpy, r, scikit-learn, tensorflow"
"django, etl, git, hadoop, linux, react, spark","ci/cd, java, javascript, node.js",1.0,6.0,0.0,1.0,0.33,"django, etl, git, hadoop, linux, react, spark"
"aws, excel, flask, javascript, tensorflow","airflow, ci/cd, django, flask, graphql, node.js, numpy, rest, sql",1.0,4.0,1.0,0.0,0.37,"aws, excel, javascript, tensorflow"
"aws, airflow, etl, excel, gcp, react, spark, tableau","airflow, azure, django, etl, flask, gcp, hadoop, javascript, node.js, sql",1.0,6.2,3.0,1.0,0.636,"aws, excel, react, spark, tableau"
"aws, git, java, node.js, numpy, pandas, r","azure, graphql, java, typescript",2.0,3.6,1.0,0.0,0.418,"aws, git, node.js, numpy, pandas, r"
"airflow, excel, numpy, power bi, rest","aws, ci/cd, git, linux, r, rest, sql",1.0,2.8,1.0,1.0,0.334,"airflow, excel, numpy, power bi"
"azure, etl, flask, python, scikit-learn, spark, tableau, tensorflow","aws, airflow, ci/cd, git, hadoop, java, power bi",2.0,2.6,0.0,0.0,0.288,"azure, etl, flask, python, scikit-learn, spark, tableau, tensorflow"
"airflow, docker, excel, hadoop, sql","airflow, excel, gcp, linux, react, sql",1.0,2.0,3.0,0.0,0.51,"docker, hadoop"
"gcp, git, hadoop, node.js, numpy, pandas, power bi, tableau","gcp, javascript, kubernetes, python, rest, scikit-learn, spark",2.0,2.8,1.0,1.0,0.394,"git, hadoop, node.js, numpy, pandas, power bi, tableau"
"gcp, graphql, numpy, power bi, r, spark, tensorflow","aws, azure, ci/cd, etl, excel, javascript, pandas, pytorch, scikit-learn, spark",1.0,3.4,1.0,0.0,0.352,"gcp, graphql, numpy, power bi, r, tensorflow"
"azure, graphql, javascript, node.js, sql","aws, etl, graphql, r, tensorflow",1.0,5.0,1.0,1.0,0.4,"azure, javascript, node.js, sql"
"ci/cd, excel, java, javascript, linux, pandas, r","azure, gcp, numpy, rest, react, typescript",1.0,7.3,0.0,1.0,0.369,"ci/cd, excel, java, javascript, linux, pandas, r"
"hadoop, node.js, pytorch, sql, tensorflow","ci/cd, django, docker, graphql, pytorch, react",1.0,6.9,1.0,1.0,0.457,"hadoop, node.js, sql, tensorflow"
"django, git, graphql, linux, node.js","git, hadoop, linux, tableau",1.0,2.9,2.0,1.0,0.437,"django, graphql, node.js"
"gcp, git, graphql, java, javascript, kubernetes, r, scikit-learn","airflow, azure, flask, git, graphql, linux, pandas, spark, tensorflow",1.0,4.8,2.0,1.0,0.494,"gcp, java, javascript, kubernetes, r, scikit-learn"
"aws, airflow, ci/cd, javascript, spark","airflow, docker, javascript, pandas, r, rest",2.0,6.7,2.0,1.0,0.611,"aws, ci/cd, spark"
"aws, etl, javascript, pandas, typescript","graphql, rest, react, scikit-learn, tableau",1.0,3.1,0.0,0.0,0.243,"aws, etl, javascript, pandas, typescript"
"aws, git, python, r, sql, scikit-learn, tableau","excel, flask, git, kubernetes, r",2.0,0.6,2.0,0.0,0.428,"aws, python, sql, scikit-learn, tableau"
"excel, graphql, node.js, pandas, pytorch, tensorflow","etl, excel, gcp, git, hadoop, javascript, python, rest, sql",1.0,1.8,1.0,1.0,0.304,"graphql, node.js, pandas, pytorch, tensorflow"
"git, java, react, spark, typescript","flask, gcp, javascript, linux, node.js, pytorch, react, spark",3.0,1.9,2.0,1.0,0.467,"git, java, typescript"
"airflow, flask, graphql, java, node.js, pytorch, r","ci/cd, django, hadoop, java, pandas, react",2.0,4.0,1.0,1.0,0.43,"airflow, flask, graphql, node.js, pytorch, r"
"docker, gcp, graphql, java, power bi, rest, scikit-learn","excel, git, tableau, typescript",3.0,2.7,0.0,0.0,0.291,"docker, gcp, graphql, java, power bi, rest, scikit-learn"
"azure, ci/cd, django, excel, git, sql","azure, ci/cd, excel, graphql, javascript, sql",1.0,6.3,4.0,1.0,0.739,"django, git"
"aws, gcp, numpy, pandas, react","azure, etl, excel, power bi, scikit-learn, spark, tensorflow",1.0,1.7,0.0,0.0,0.201,"aws, gcp, numpy, pandas, react"
"aws, azure, ci/cd, etl, kubernetes, rest, tensorflow, typescript","azure, django, node.js, react, tableau",1.0,4.9,1.0,0.0,0.397,"aws, ci/cd, etl, kubernetes, rest, tensorflow, typescript"
"ci/cd, etl, graphql, r, rest","airflow, ci/cd, flask, gcp, node.js, tableau",1.0,4.4,1.0,0.0,0.382,"etl, graphql, r, rest"
"docker, git, linux, power bi, python, scikit-learn","aws, graphql, hadoop, kubernetes, power bi, rest, sql, spark, tableau",1.0,0.8,1.0,1.0,0.274,"docker, git, linux, python, scikit-learn"
"graphql, numpy, python, react, scikit-learn","azure, docker, excel, r, sql, scikit-learn",2.0,6.4,1.0,1.0,0.502,"graphql, numpy, python, react"
"azure, docker, javascript, kubernetes, pandas, pytorch, sql, tensorflow","aws, etl, hadoop, node.js, r",1.0,3.6,0.0,0.0,0.258,"azure, docker, javascript, kubernetes, pandas, pytorch, sql, tensorflow"
"aws, airflow, ci/cd, excel, git, numpy","graphql, r, spark, typescript",1.0,6.1,0.0,1.0,0.333,"aws, airflow, ci/cd, excel, git, numpy"
"aws, git, graphql, linux, node.js, python, r","ci/cd, docker, flask, hadoop, java, power bi, pytorch, rest, sql, spark",1.0,5.5,0.0,0.0,0.315,"aws, git, graphql, linux, node.js, python, r"
"gcp, javascript, linux, python, r, scikit-learn, spark","git, kubernetes, node.js, numpy, react",3.0,2.8,0.0,0.0,0.294,"gcp, javascript, linux, python, r, scikit-learn, spark"
"airflow, ci/cd, hadoop, kubernetes, linux, power bi, tableau, tensorflow","django, docker, gcp, git, hadoop, javascript, numpy, pandas, python, spark",1.0,5.9,1.0,0.0,0.427,"airflow, ci/cd, kubernetes, linux, power bi, tableau, tensorflow"
"aws, gcp, graphql, kubernetes, linux, numpy","git, javascript, power bi, python, rest, sql, tensorflow",2.0,1.1,0.0,0.0,0.243,"aws, gcp, graphql, kubernetes, linux, numpy"
"docker, etl, java, node.js, pandas","azure, hadoop, kubernetes, r",2.0,5.9,0.0,0.0,0.387,"docker, etl, java, node.js, pandas"
"airflow, flask, hadoop, python, tableau","airflow, docker, gcp, javascript, kubernetes, numpy, pandas, python, react",1.0,5.0,2.0,1.0,0.5,"flask, hadoop, tableau"
"docker, flask, hadoop, linux, node.js, r","aws, azure, ci/cd, docker, gcp, hadoop, python, rest",1.0,4.3,2.0,0.0,0.479,"flask, linux, node.js, r"
"aws, flask, power bi, python, rest, sql","graphql, javascript, pytorch, r, spark",3.0,3.3,0.0,1.0,0.309,"aws, flask, power bi, python, rest, sql"
"azure, docker, hadoop, pandas, python, spark, tableau, typescript","azure, docker, flask, java, numpy, power bi, python, tableau, tensorflow",1.0,7.2,4.0,1.0,0.766,"hadoop, pandas, spark, typescript"
"etl, kubernetes, linux, pandas, typescript","excel, hadoop, node.js, rest, scikit-learn, spark, tableau",1.0,3.3,0.0,0.0,0.249,"etl, kubernetes, linux, pandas, typescript"
"ci/cd, flask, git, graphql, spark","azure, ci/cd, kubernetes, node.js, power bi, pytorch, python, typescript",2.0,2.1,1.0,0.0,0.373,"flask, git, graphql, spark"
"ci/cd, docker, git, linux, react, scikit-learn","ci/cd, etl, excel, gcp, javascript, linux, sql, scikit-learn, tableau",0.0,2.3,3.0,0.0,0.519,"docker, git, react"
"django, etl, flask, java, spark","aws, docker, git, kubernetes, r",2.0,1.8,0.0,0.0,0.264,"django, etl, flask, java, spark"
"airflow, ci/cd, docker, kubernetes, linux, pandas, typescript","ci/cd, git, java, kubernetes, python, tableau",1.0,0.5,2.0,0.0,0.365,"airflow, docker, linux, pandas, typescript"
"git, javascript, pytorch, python, scikit-learn","azure, graphql, numpy, spark",1.0,2.7,0.0,0.0,0.231,"git, javascript, pytorch, python, scikit-learn"
"airflow, etl, kubernetes, numpy, power bi, pytorch, sql, tableau","aws, airflow, django, docker, excel, flask, linux, node.js, scikit-learn",3.0,2.6,1.0,0.0,0.388,"etl, kubernetes, numpy, power bi, pytorch, sql, tableau"
"django, git, graphql, linux, r, tensorflow","aws, django, hadoop, java, node.js, numpy, sql, spark, typescript",2.0,4.1,1.0,0.0,0.433,"git, graphql, linux, r, tensorflow"
"aws, java, power bi, react, sql, tensorflow","etl, flask, git, java, javascript, pandas, pytorch, python, scikit-learn, typescript",2.0,0.0,1.0,0.0,0.31,"aws, power bi, react, sql, tensorflow"
"aws, azure, java, kubernetes, node.js, power bi, typescript","airflow, azure, gcp, graphql, javascript, kubernetes, linux, r, scikit-learn, typescript",3.0,5.3,3.0,1.0,0.669,"aws, java, node.js, power bi"
"aws, azure, ci/cd, java, javascript, power bi, rest","aws, etl, excel, gcp, git, java, javascript, pandas, power bi, python",2.0,6.8,4.0,1.0,0.814,"azure, ci/cd, rest"
"linux, pandas, python, rest, react, sql, typescript","aws, javascript, node.js, power bi, python",1.0,3.7,1.0,0.0,0.361,"linux, pandas, rest, react, sql, typescript"
"etl, hadoop, node.js, pytorch, rest","aws, airflow, gcp, linux, node.js, rest",1.0,1.2,2.0,1.0,0.386,"etl, hadoop, pytorch"
"django, docker, etl, excel, git, java, numpy, power bi","ci/cd, git, hadoop, javascript, node.js, pandas, rest, spark, typescript",1.0,5.2,1.0,0.0,0.406,"django, docker, etl, excel, java, numpy, power bi"
"ci/cd, flask, javascript, kubernetes, r, rest, spark","git, javascript, sql, spark, tableau",1.0,2.1,2.0,1.0,0.413,"ci/cd, flask, kubernetes, r, rest"
"airflow, git, graphql, linux, node.js, pandas, scikit-learn","aws, django, java, javascript, r, react",2.0,6.4,0.0,0.0,0.402,"airflow, git, graphql, linux, node.js, pandas, scikit-learn"
"django, etl, hadoop, node.js, power bi, r, typescript","azure, ci/cd, gcp, hadoop, kubernetes, node.js, pandas, react",2.0,1.7,2.0,1.0,0.461,"django, etl, power bi, r, typescript"
"gcp, javascript, python, rest, typescript","airflow, ci/cd, flask, java, numpy, sql, tableau, tensorflow",1.0,3.7,0.0,0.0,0.261,"gcp, javascript, python, rest, typescript"
"etl, hadoop, pytorch, r, sql, scikit-learn, tableau, typescript","git, graphql, node.js, react",1.0,1.9,0.0,0.0,0.207,"etl, hadoop, pytorch, r, sql, scikit-learn, tableau, typescript"
"azure, django, python, tableau, tensorflow","django, hadoop, javascript, spark",1.0,4.4,1.0,1.0,0.382,"azure, python, tableau, tensorflow"
"etl, gcp, hadoop, java, sql","docker, kubernetes, linux, python",1.0,1.3,0.0,0.0,0.189,"etl, gcp, hadoop, java, sql"
"aws, airflow, excel, graphql, power bi, react","airflow, ci/cd, etl, numpy, python, r",1.0,1.4,1.0,1.0,0.292,"aws, excel, graphql, power bi, react"
"etl, kubernetes, python, rest, typescript","docker, hadoop, node.js, python, rest, tensorflow",2.0,3.5,2.0,0.0,0.515,"etl, kubernetes, typescript"
"aws, airflow, gcp, pandas, pytorch, python, react","ci/cd, excel, kubernetes, pytorch, rest, sql, scikit-learn",1.0,1.8,1.0,1.0,0.304,"aws, airflow, gcp, pandas, python, react"
"hadoop, linux, rest, react, sql","docker, gcp, numpy, sql, tableau",1.0,4.8,1.0,0.0,0.394,"hadoop, linux, rest, react"
"aws, flask, gcp, graphql, hadoop, linux, scikit-learn","docker, flask, kubernetes, node.js, python, r, spark",1.0,5.1,1.0,0.0,0.403,"aws, gcp, graphql, hadoop, linux, scikit-learn"
"django, excel, java, linux, numpy, react, typescript","flask, gcp, git, numpy, power bi, pytorch, rest",1.0,5.2,1.0,0.0,0.406,"django, excel, java, linux, react, typescript"
"azure, django, javascript, pandas, python, r, scikit-learn, tensorflow","django, flask, git, kubernetes, pytorch, r, typescript",1.0,5.0,2.0,1.0,0.5,"azure, javascript, pandas, python, scikit-learn, tensorflow"
"docker, etl, flask, git, javascript, numpy, react","docker, etl, node.js, pytorch, typescript",3.0,3.2,2.0,0.0,0.506,"flask, git, javascript, numpy, react"
"gcp, javascript, kubernetes, pandas, rest, react","airflow, django, gcp, node.js, power bi, python, rest",3.0,4.0,2.0,0.0,0.53,"javascript, kubernetes, pandas, react"
"docker, gcp, node.js, react, spark, typescript","excel, flask, java, linux, power bi",1.0,0.1,0.0,1.0,0.153,"docker, gcp, node.js, react, spark, typescript"
"ci/cd, linux, pandas, power bi, react, typescript","aws, airflow, gcp, git, javascript, kubernetes, numpy, python, r, spark",1.0,7.8,0.0,1.0,0.384,"ci/cd, linux, pandas, power bi, react, typescript"
"django, etl, hadoop, javascript, numpy, tableau","aws, airflow, ci/cd, excel, flask, kubernetes, node.js, numpy, pandas, sql",1.0,2.7,1.0,1.0,0.331,"django, etl, hadoop, javascript, tableau"
"etl, flask, git, python, r, sql","docker, etl, hadoop, javascript, tableau",1.0,5.9,1.0,0.0,0.427,"flask, git, python, r, sql"
"airflow, docker, excel, git, node.js, python, react, tableau","azure, django, etl, java, numpy, pandas, r, rest, sql, typescript",1.0,2.6,0.0,0.0,0.228,"airflow, docker, excel, git, node.js, python, react, tableau"
"azure, pandas, rest, react, typescript","excel, gcp, graphql, power bi, react, spark, tensorflow",2.0,4.0,1.0,0.0,0.43,"azure, pandas, rest, typescript"
"aws, ci/cd, excel, gcp, java, kubernetes, r, sql","gcp, r, react, typescript",1.0,1.9,2.0,1.0,0.407,"aws, ci/cd, excel, java, kubernetes, sql"
"javascript, linux, numpy, r, spark, tensorflow","graphql, pytorch, spark, tableau",2.0,3.2,1.0,0.0,0.406,"javascript, linux, numpy, r, tensorflow"
"aws, ci/cd, etl, git, java, linux","aws, flask, graphql, hadoop, node.js, power bi, pytorch, react, sql, typescript",1.0,2.4,1.0,1.0,0.322,"ci/cd, etl, git, java, linux"
"ci/cd, gcp, git, power bi, python, scikit-learn, spark, tableau","hadoop, node.js, numpy, react, sql, tensorflow",1.0,3.7,0.0,1.0,0.261,"ci/cd, gcp, git, power bi, python, scikit-learn, spark, tableau"
"azure, ci/cd, javascript, numpy, power bi, pytorch, tensorflow, typescript","django, docker, javascript, kubernetes, r, sql",3.0,5.4,1.0,0.0,0.472,"azure, ci/cd, numpy, power bi, pytorch, tensorflow, typescript"
"django, git, javascript, numpy, power bi, python, react","ci/cd, kubernetes, python, r, rest, sql, spark, tensorflow",2.0,2.8,1.0,0.0,0.394,"django, git, javascript, numpy, power bi, react"
"git, java, numpy, sql, typescript","flask, hadoop, java, linux, numpy, scikit-learn, tableau",1.0,4.7,2.0,0.0,0.491,"git, sql, typescript"
"hadoop, java, numpy, power bi, python, spark, typescript","airflow, docker, flask, javascript, pandas, pytorch, python, scikit-learn, tableau, tensorflow",1.0,4.5,1.0,1.0,0.385,"hadoop, java, numpy, power bi, spark, typescript"
"ci/cd, flask, kubernetes, scikit-learn, typescript","aws, airflow, flask, git, hadoop, node.js, pandas",2.0,4.0,1.0,1.0,0.43,"ci/cd, kubernetes, scikit-learn, typescript"
"etl, hadoop, r, spark, typescript","airflow, ci/cd, excel, flask, java, spark",2.0,2.5,1.0,1.0,0.385,"etl, hadoop, r, typescript"
"excel, flask, git, hadoop, javascript, numpy, power bi","ci/cd, python, scikit-learn, tensorflow",3.0,0.2,0.0,1.0,0.216,"excel, flask, git, hadoop, javascript, numpy, power bi"
"airflow, gcp, kubernetes, numpy, power bi, python, rest, sql","azure, django, graphql, python, tableau, tensorflow",1.0,8.6,1.0,1.0,0.508,"airflow, gcp, kubernetes, numpy, power bi, rest, sql"
"aws, azure, ci/cd, graphql, kubernetes, python, r, sql","ci/cd, django, docker, gcp, git, java, javascript, pandas, pytorch, spark",1.0,4.0,1.0,1.0,0.37,"aws, azure, graphql, kubernetes, python, r, sql"
"azure, excel, flask, graphql, hadoop, kubernetes, node.js, pandas","etl, flask, hadoop, javascript, react, sql, tableau, typescript",3.0,5.2,2.0,0.0,0.566,"azure, excel, graphql, kubernetes, node.js, pandas"
"aws, gcp, hadoop, linux, scikit-learn","aws, flask, linux, python",2.0,2.8,2.0,0.0,0.494,"gcp, hadoop, scikit-learn"
"gcp, git, graphql, javascript, kubernetes, numpy, react, typescript","aws, ci/cd, hadoop, linux, numpy, pytorch, spark, tableau",2.0,2.5,1.0,1.0,0.385,"gcp, git, graphql, javascript, kubernetes, react, typescript"
"ci/cd, etl, excel, kubernetes, python, r, rest, tensorflow","aws, excel, graphql, hadoop, linux, pandas, react, scikit-learn",1.0,4.6,1.0,1.0,0.388,"ci/cd, etl, kubernetes, python, r, rest, tensorflow"
"aws, airflow, excel, java, javascript, linux, rest","aws, etl, graphql, javascript, node.js, pandas, sql, spark, tensorflow",2.0,2.7,2.0,0.0,0.491,"airflow, excel, java, linux, rest"
"ci/cd, django, etl, excel, gcp, scikit-learn, tableau","excel, gcp, hadoop, java, javascript, pandas",1.0,5.4,2.0,0.0,0.512,"ci/cd, django, etl, scikit-learn, tableau"
"django, etl, flask, graphql, node.js, power bi, pytorch, r","airflow, git, kubernetes, pandas, power bi, pytorch, rest, sql, scikit-learn, spark",2.0,3.3,2.0,0.0,0.509,"django, etl, flask, graphql, node.js, r"
"aws, docker, excel, flask, git, linux, rest, scikit-learn","azure, git, graphql, java, javascript, power bi, r, react, tableau, tensorflow",1.0,2.3,1.0,0.0,0.319,"aws, docker, excel, flask, linux, rest, scikit-learn"
"airflow, azure, django, git, node.js, sql, scikit-learn","ci/cd, django, etl, gcp, javascript, node.js, power bi, react, spark",2.0,8.3,2.0,0.0,0.659,"airflow, azure, git, sql, scikit-learn"
"aws, etl, kubernetes, r, typescript","gcp, linux, r, rest, sql, tableau",1.0,5.8,1.0,1.0,0.424,"aws, etl, kubernetes, typescript"
"docker, flask, git, numpy, power bi, sql, tensorflow","ci/cd, docker, pytorch, python, r, sql",1.0,1.8,2.0,0.0,0.404,"flask, git, numpy, power bi, tensorflow"
"airflow, etl, excel, gcp, javascript, react","pandas, python, r, react, tensorflow, typescript",2.0,1.7,1.0,1.0,0.361,"airflow, etl, excel, gcp, javascript"
"ci/cd, excel, flask, gcp, pytorch, tableau, tensorflow","gcp, linux, numpy, pytorch, sql",2.0,2.1,2.0,0.0,0.473,"ci/cd, excel, flask, tableau, tensorflow"
"git, linux, node.js, pytorch, sql, scikit-learn, tableau","ci/cd, excel, flask, gcp, java, node.js, numpy, pandas, pytorch",1.0,4.3,2.0,1.0,0.479,"git, linux, sql, scikit-learn, tableau"
"django, gcp, git, graphql, java, node.js, tableau, typescript","azure, django, excel, flask, hadoop, javascript, linux, spark, tableau, tensorflow",1.0,1.9,2.0,0.0,0.407,"gcp, git, graphql, java, node.js, typescript"
"django, excel, graphql, node.js, pandas, rest, scikit-learn","docker, gcp, node.js, pandas, power bi",2.0,3.7,2.0,0.0,0.521,"django, excel, graphql, rest, scikit-learn"
"airflow, azure, power bi, r, rest, sql, spark","hadoop, linux, tableau, tensorflow",1.0,3.2,0.0,1.0,0.246,"airflow, azure, power bi, r, rest, sql, spark"
"ci/cd, docker, gcp, git, hadoop, javascript, kubernetes, tableau","excel, numpy, power bi, pytorch, r",1.0,1.5,0.0,0.0,0.195,"ci/cd, docker, gcp, git, hadoop, javascript, kubernetes, tableau"
"airflow, kubernetes, linux, pandas, power bi, r, spark, typescript","aws, azure, etl, javascript, power bi, scikit-learn, typescript",1.0,3.3,2.0,0.0,0.449,"airflow, kubernetes, linux, pandas, r, spark"
"azure, ci/cd, hadoop, java, javascript, numpy, power bi, tensorflow","aws, hadoop, java, pandas, r, rest, react, scikit-learn, spark",1.0,2.4,2.0,0.0,0.422,"azure, ci/cd, javascript, numpy, power bi, tensorflow"
"airflow, ci/cd, graphql, hadoop, kubernetes, node.js, typescript","excel, git, graphql, javascript, linux, pytorch, rest, spark, typescript",3.0,5.0,2.0,1.0,0.56,"airflow, ci/cd, hadoop, kubernetes, node.js"
"ci/cd, docker, etl, hadoop, kubernetes, typescript","azure, flask, java, javascript, pandas, tensorflow, typescript",1.0,6.8,1.0,1.0,0.454,"ci/cd, docker, etl, hadoop, kubernetes"
"docker, graphql, java, kubernetes, sql, tableau","azure, docker, excel, graphql, kubernetes, linux, pytorch, r, spark, tensorflow",3.0,4.9,3.0,1.0,0.657,"java, sql, tableau"
"ci/cd, django, git, javascript, react, tensorflow","aws, azure, etl, graphql, linux, pytorch, rest, sql, spark",1.0,7.0,0.0,0.0,0.36,"ci/cd, django, git, javascript, react, tensorflow"
"airflow, etl, javascript, rest, sql","etl, git, node.js, python",1.0,4.1,1.0,0.0,0.373,"airflow, javascript, rest, sql"
"azure, excel, gcp, git, linux, node.js, power bi, pytorch","airflow, excel, gcp, git, linux, numpy, tableau, tensorflow",1.0,6.9,4.0,1.0,0.757,"azure, node.js, power bi, pytorch"
"flask, gcp, java, javascript, numpy, pandas, python, rest","gcp, git, linux, numpy, power bi, r, spark, typescript",3.0,2.2,2.0,1.0,0.476,"flask, java, javascript, pandas, python, rest"
"azure, power bi, python, scikit-learn, typescript","aws, docker, etl, flask, java, pandas, sql, tableau, tensorflow, typescript",1.0,7.1,1.0,0.0,0.463,"azure, power bi, python, scikit-learn"
"aws, flask, hadoop, pandas, pytorch, r, tableau","airflow, ci/cd, django, java, javascript, kubernetes, node.js, pytorch, spark, typescript",3.0,4.9,1.0,1.0,0.457,"aws, flask, hadoop, pandas, r, tableau"
"ci/cd, excel, flask, java, node.js, pandas, react, typescript","azure, django, docker, etl, flask, gcp, pytorch, react, sql",2.0,4.9,2.0,1.0,0.557,"ci/cd, excel, java, node.js, pandas, typescript"
"excel, java, numpy, power bi, react, scikit-learn, spark","excel, flask, gcp, git, rest, sql",2.0,3.0,1.0,1.0,0.4,"java, numpy, power bi, react, scikit-learn, spark"
"airflow, django, docker, hadoop, javascript, linux, numpy, power bi","javascript, linux, node.js, numpy, react, tensorflow",1.0,1.6,3.0,1.0,0.498,"airflow, django, docker, hadoop, power bi"
"django, docker, r, react, sql","aws, ci/cd, graphql, javascript, power bi, pytorch, sql",1.0,2.3,1.0,0.0,0.319,"django, docker, r, react"
"airflow, etl, gcp, r, tensorflow","airflow, excel, git, java, javascript, linux, react, spark",2.0,5.4,1.0,1.0,0.472,"etl, gcp, r, tensorflow"
"airflow, django, docker, gcp, git, hadoop, node.js, power bi","gcp, git, java, numpy, python, typescript",2.0,3.5,2.0,0.0,0.515,"airflow, django, docker, hadoop, node.js, power bi"
"azure, ci/cd, javascript, node.js, pandas, rest, tableau","azure, excel, node.js, numpy, pandas, power bi, pytorch, scikit-learn, spark",1.0,1.8,3.0,0.0,0.504,"ci/cd, javascript, rest, tableau"
"ci/cd, docker, etl, excel, power bi, python, spark, typescript","etl, excel, git, hadoop, kubernetes, pandas, python, tableau, typescript",2.0,2.3,4.0,0.0,0.679,"ci/cd, docker, power bi, spark"
"airflow, javascript, numpy, pandas, python","aws, airflow, flask, hadoop, java, javascript, numpy, react, sql, tensorflow",2.0,4.8,3.0,0.0,0.654,"pandas, python"
"azure, hadoop, numpy, scikit-learn, tensorflow","airflow, docker, excel, java, kubernetes, power bi",2.0,6.1,0.0,0.0,0.393,"azure, hadoop, numpy, scikit-learn, tensorflow"
